Date,^FCHI,^FTSE,^GDAXI,^GSPC
2018-04-26,5453.580078,7421.399901999999,12500.469727,2666.939941
2018-04-27,5483.189941,7502.200195,12580.870117,2669.909912
2018-04-30,5520.5,7509.299805,12612.110352,2648.050049
2018-05-01,,7520.399901999999,,2654.800049
2018-05-02,5529.220215,7543.200195,12802.25,2635.669922
2018-05-03,5501.660156,7502.700195,12690.150391,2629.72998
2018-05-04,5516.049805,7567.100098000001,12819.599609,2663.419922
2018-05-07,5531.419922,,12948.139648,2672.6298829999996
2018-05-08,5521.930176,7565.799805,12912.209961,2671.919922
2018-05-09,5534.629883,7662.5,12943.05957,2697.790039
2018-05-10,5545.950195,7701.0,13022.870117,2723.070068
2018-05-11,5541.939941,7724.600098000001,13001.240234,2727.719971
2018-05-14,5540.680176,7711.0,12977.709961,2730.1298829999996
2018-05-15,5553.160156,7723.0,12970.040039,2711.449951
2018-05-16,5567.540039,7734.200195,12996.330078,2722.459961
2018-05-17,5621.919922,7788.0,13114.610352,2720.1298829999996
2018-05-18,5614.509765999999,7778.799805,13077.719727,2712.969971
2018-05-21,5637.509765999999,7859.200195,,2733.01001
2018-05-22,5640.100098,7877.5,13169.919922,2724.439941
2018-05-23,5565.850098,7788.399901999999,12976.839844,2733.290039
2018-05-24,5548.450195,7716.700195,12855.089844,2727.76001
2018-05-25,5542.549805,7730.299805,12938.009766,2721.330078
2018-05-28,5508.930176,,12863.459961,
2018-05-29,5438.060059,7632.600098000001,12666.509766,2689.860107
2018-05-30,5427.350098,7689.600098000001,12783.759766,2724.01001
2018-05-31,5398.399902,7678.200195,12604.889648,2705.27002
2018-06-01,5465.529785,7701.799805,12724.269531,2734.6201170000004
2018-06-04,5472.910156,7741.299805,12770.75,2746.8701170000004
2018-06-05,5460.950195,7686.799805,12787.129883,2748.800049
2018-06-06,5457.560059,7712.399901999999,12830.070313,2772.350098
2018-06-07,5448.359863000001,7704.399901999999,12811.049805,2770.3701170000004
2018-06-08,5450.220215,7681.100098000001,12766.549805,2779.030029
2018-06-11,5473.910156,7737.399901999999,12842.910156,2782.0
2018-06-12,5453.370117,7703.799805,12842.299805,2786.850098
2018-06-13,5452.72998,7703.700195,12890.580078,2775.6298829999996
2018-06-14,5528.459961,7765.799805,13107.099609,2782.48999
2018-06-15,5501.879883,7633.899901999999,13010.549805,2779.659912
2018-06-18,5450.47998,7631.299805,12834.110352,2773.75
2018-06-19,5390.629883,7603.899901999999,12677.969727,2762.590088
2018-06-20,5372.310059,7627.399901999999,12695.160156,2767.320068
2018-06-21,5316.009765999999,7556.399901999999,12511.910156,2749.76001
2018-06-22,5387.379883,7682.299805,12579.719727,2754.8798829999996
2018-06-25,5283.859863000001,7509.799805,12270.330078,2717.070068
2018-06-26,5281.290039,7537.899901999999,12234.339844,2723.060059
2018-06-27,5327.200195,7621.700195,12348.610352,2699.6298829999996
2018-06-28,5275.640136999999,7615.600098000001,12177.230469,2716.310059
2018-06-29,5323.529785,7636.899901999999,12306.0,2718.3701170000004
2018-07-02,5276.759765999999,7547.899901999999,12238.169922,2726.709961
2018-07-03,5316.77002,7593.299805,12349.139648,2713.219971
2018-07-04,5320.5,7573.100098000001,12317.610352,
2018-07-05,5366.319824,7603.200195,12464.290039,2736.610107
2018-07-06,5375.77002,7617.700195,12496.169922,2759.820068
2018-07-09,5398.109863000001,7688.0,12543.889648,2784.169922
2018-07-10,5434.359863000001,7692.0,12609.849609,2793.840088
2018-07-11,5353.930176,7592.0,12417.129883,2774.02002
