Date,Open,High,Low,Close,Adj Close,Volume
2010-09-13,152.320007,154.699997,152.300003,154.369995,133.694382,7653600
2010-09-14,153.539993,153.75,152.229996,152.529999,132.100739,5688200
2010-09-15,151.669998,152.800003,150.669998,152.559998,132.12674,5698200
2010-09-16,152.279999,152.479996,151.160004,152.229996,131.840927,4388600
2010-09-17,152.110001,152.470001,150.559998,150.979996,130.758377,4835600
2010-09-20,150.979996,152.399994,149.889999,151.899994,131.555161,5640500
2010-09-21,152.110001,154.570007,151.089996,151.399994,131.122147,6876000
2010-09-22,149.949997,150.550003,147.690002,148.070007,128.238083,8986100
2010-09-23,146.360001,146.869995,143.979996,144.910004,125.501396,9152400
2010-09-24,146.25,147.600006,145.820007,147.279999,127.554016,5623700
2010-09-27,147.009995,148.410004,145.779999,146,126.445427,5205900
2010-09-28,146.509995,146.690002,144.059998,145.009995,125.587952,5504800
2010-09-29,145.020004,145.020004,142.539993,144.419998,125.077003,6944900
2010-09-30,145.25,146.979996,144.300003,144.580002,125.215599,6854400
2010-10-01,145.199997,148.5,144.820007,147.699997,127.917656,7439800
2010-10-04,147.699997,148.470001,144.699997,146.570007,126.939041,5866700
2010-10-05,147.559998,150.279999,146.070007,149.570007,129.537247,8724700
2010-10-06,149.75,152.330002,149.130005,150.839996,130.637085,6330600
2010-10-07,152.110001,152.360001,150.029999,151.110001,130.871002,4471500
2010-10-08,151.149994,153.399994,150.619995,152.660004,132.213379,5225100
2010-10-11,152.669998,153.089996,151.270004,152.199997,131.814987,4454400
2010-10-12,151.300003,155.449997,151.009995,155.210007,134.42186,6378000
2010-10-13,156.300003,156.690002,154.389999,154.729996,134.006119,5626200
2010-10-14,154.229996,154.289993,150.550003,151.589996,131.286682,6891100
2010-10-15,152.690002,152.690002,150.660004,150.690002,130.507217,6901500
2010-10-18,150.929993,154.380005,150.850006,153.699997,133.114014,6972300
2010-10-19,155.139999,159.699997,154.110001,156.720001,135.729614,14491200
2010-10-20,156.210007,160.25,154.860001,159.600006,138.223877,10631200
2010-10-21,159.580002,161.5,158.100006,159.300003,137.964035,6350900
2010-10-22,159.889999,159.979996,157.5,157.759995,136.630325,4051700
2010-10-25,159.360001,159.449997,156.270004,157.389999,136.309875,5728300
2010-10-26,156.720001,158.729996,156.529999,158.289993,137.08934,4068500
2010-10-27,157.190002,160.589996,157,160.149994,138.70018,6570900
2010-10-28,160.860001,163.789993,160.440002,163.240005,141.376328,9918800
2010-10-29,162.149994,163.600006,160.949997,161.130005,139.548981,4536600
2010-11-01,161.770004,162.960007,160.169998,161.570007,139.929977,4514400
2010-11-02,162.059998,163,161.800003,162.820007,141.01265,3332400
2010-11-03,163.179993,163.179993,160.570007,162.630005,140.848068,4462800
2010-11-04,163.619995,166.399994,162.690002,166.389999,144.104431,8162600
2010-11-05,165.990005,171.179993,165.919998,171.070007,148.157639,11989300
2010-11-08,169.949997,171.610001,169.100006,169.199997,146.538055,5516100
2010-11-09,170.300003,170.850006,166,166.550003,144.24295,7343900
2010-11-10,166.309998,168.649994,165.570007,167.220001,144.823288,6328100
2010-11-11,165.789993,168.889999,165.789993,167.710007,145.247635,3931500
2010-11-12,166.389999,168.119995,164.649994,165.830002,143.619446,4735600
2010-11-15,165.679993,169.350006,165.009995,167.220001,144.823288,5199000
2010-11-16,165.800003,167,164.660004,165.100006,142.987228,5914100
2010-11-17,165.119995,165.729996,164,164.889999,142.805344,3726300
2010-11-18,165.690002,168.929993,165.600006,167.350006,144.935822,4987500
2010-11-19,167.5,167.75,165.699997,166.669998,144.346939,4584500
2010-11-22,164.300003,164.380005,158.449997,161.050003,139.479614,11364000
2010-11-23,159.100006,160.899994,157.660004,157.779999,136.647598,7315000
2010-11-24,158.960007,160.699997,158.550003,160.259995,138.795456,4258200
2010-11-26,158.460007,159.350006,158.070007,158.220001,137.028671,1876900
2010-11-29,157.490005,160,157,159.279999,137.946686,4819900
2010-11-30,158.070007,159.330002,156.139999,156.139999,135.525085,5416900
2010-12-01,158.449997,159.199997,157,158.449997,137.53006,6024000
2010-12-02,159.160004,163.25,158.839996,162.5,141.045349,7208600
2010-12-03,161.309998,162.5,160.949997,162.309998,140.880463,4658000
2010-12-06,161.660004,163.190002,161.490005,162.649994,141.175568,3686300
2010-12-07,164.520004,164.770004,161.440002,161.589996,140.255463,5527700
2010-12-08,161.960007,166.139999,161.889999,166.139999,144.204788,5259500
2010-12-09,167,167.75,165.75,166.449997,144.473862,5746400
2010-12-10,166.410004,168.470001,165.899994,168.470001,146.227173,4543600
